"2025-05-30T02:10:30.936Z","NOTA","2025-06-06","2025-05-27","NFE","169816","DELL","4484","PENDENTE"
"2025-05-30T02:51:43.263Z","NOTA","2025-05-30","2025-05-26","NFE","169816","DELL","4484","PENDENTE"
